"location","latitude","longitude","population","area","density","densityClass"
"Bagnols-sur-Ceze","44.1623","4.6193",18375,"31.37",586,"0<d<1000"
"Hericourt","47.5783","6.7622",10572,"18.08",585,"0<d<1000"
"Villemandeur","47.9908","2.7103",6692,"11.46",584,"0<d<1000"
"Thouare-sur-Loire","47.2683","-1.4394",7449,"12.76",584,"0<d<1000"
"Saint-Remy","46.7639","4.8383",6041,"10.38",582,"0<d<1000"
"Basse-Goulaine","47.2161","-1.4642",7995,"13.74",582,"0<d<1000"
"Le Taillan-Medoc","44.9053","-0.6686",8819,"15.16",582,"0<d<1000"
"Saintes","45.7464","-0.6333",26470,"45.55",581,"0<d<1000"
"Nouzonville","49.8158","4.7458",6334,"10.92",580,"0<d<1000"
"Wissous","48.7319","2.3271",5272,"9.11",579,"0<d<1000"
"Amberieu-en-Bugey","45.9631","5.3541",14233,"24.6",579,"0<d<1000"
"Pont-Eveque","45.5311","4.9119",5064,"8.76",578,"0<d<1000"
"Poisy","45.9216","6.0622",6532,"11.33",577,"0<d<1000"
"Pont-Saint-Esprit","44.2575","4.6492",10651,"18.49",576,"0<d<1000"
"Saint-Marcel","46.7764","4.89",5846,"10.17",575,"0<d<1000"
"Quiberon","47.4842","-3.1192",5049,"8.83",572,"0<d<1000"
"Ham","49.7472","3.0736",5438,"9.5",572,"0<d<1000"
"Saint-Laurent-Blangy","50.3031","2.8036",5619,"9.83",572,"0<d<1000"
"Charnay-les-Macon","46.309","4.7922",7184,"12.56",572,"0<d<1000"
"Brunstatt-Didenheim","47.721","7.318",8064,"14.1",572,"0<d<1000"
"Conde-sur-l'Escaut","50.45","3.5914",10527,"18.4",572,"0<d<1000"
"Cavaillon","43.8375","5.0381",26305,"45.96",572,"0<d<1000"
"Pegomas","43.5975","6.9339",6438,"11.28",571,"0<d<1000"
"Dechy","50.353","3.129",5283,"9.27",570,"0<d<1000"
"Vertou","47.1689","-1.4697",20268,"35.68",568,"0<d<1000"
"Le Palais-sur-Vienne","45.865","1.3242",5856,"10.33",567,"0<d<1000"
"Ferriere-la-Grande","50.2556","3.9933",5669,"10.01",566,"0<d<1000"
"Saint-Cyr-sur-Mer","43.1789","5.7086",11972,"21.15",566,"0<d<1000"
"Saint-Amand-Montrond","46.7","2.51",11376,"20.17",564,"0<d<1000"
"Wavrin","50.5742","2.9397",7633,"13.55",563,"0<d<1000"
"Grand-Couronne","49.3583","1.0081",9507,"16.93",562,"0<d<1000"
"Bouguenais","47.18","-1.6236",17622,"31.5",559,"0<d<1000"
"Sorgues","44.0092","4.873",18681,"33.4",559,"0<d<1000"
"Les Sorinieres","47.1472","-1.5286",7251,"13.02",557,"0<d<1000"
"Bruz","48.0256","-1.7447",16670,"29.95",557,"0<d<1000"
"Chambray-les-Tours","47.3383","0.7144",10781,"19.4",556,"0<d<1000"
"Saint-Georges-d'Orques","43.6114","3.7814",5169,"9.31",555,"0<d<1000"
"Checy","47.8942","2.0275",8585,"15.47",555,"0<d<1000"
"Thorigne-Fouillard","48.1603","-1.5786",7526,"13.58",554,"0<d<1000"
"Etampes","48.4343","2.1615",22679,"40.92",554,"0<d<1000"
"Rives","45.3517","5.5031",6046,"10.93",553,"0<d<1000"
"Romilly-sur-Seine","48.5167","3.7275",13968,"25.32",552,"0<d<1000"
"Peronne","49.9293","2.935",7796,"14.16",551,"0<d<1000"
"Douvrin","50.5106","2.8322",5265,"9.58",550,"0<d<1000"
"Horbourg-Wihr","48.08","7.3953",5155,"9.42",547,"0<d<1000"
"Fourmies","50.0181","4.0539",12581,"22.98",547,"0<d<1000"
"Tournan-en-Brie","48.7394","2.7675",8439,"15.47",546,"0<d<1000"
"Dourges","50.4369","2.9875",5704,"10.48",544,"0<d<1000"
"Vire","48.84","-0.89",12231,"22.5",544,"0<d<1000"
"Pontivy","48.0692","-2.9614",13508,"24.85",544,"0<d<1000"
"Auvers-sur-Oise","49.0725","2.175",6894,"12.69",543,"0<d<1000"
"Blendecques","50.7178","2.2772",5171,"9.56",541,"0<d<1000"
"Saint-Martin-le-Vinoux","45.2039","5.7172",5408,"10.0",541,"0<d<1000"
"Magny-les-Hameaux","48.7363","2.0877",8999,"16.64",541,"0<d<1000"
"Langon","44.55","-0.25",7409,"13.71",540,"0<d<1000"
"Andernos-les-Bains","44.7433","-1.0892",10793,"20.01",539,"0<d<1000"
"Desvres","50.6686","1.8353",5056,"9.42",537,"0<d<1000"
"Lavelanet","42.9336","1.8494",6747,"12.57",537,"0<d<1000"
"Jarny","49.1597","5.8781",8377,"15.6",537,"0<d<1000"
"Gueret","46.1714","1.8692",14063,"26.21",537,"0<d<1000"
"Creutzwald","49.2","6.6833",14360,"26.72",537,"0<d<1000"
"Fenouillet","43.6808","1.3947",5100,"9.51",536,"0<d<1000"
"Wambrechies","50.6861","3.0494",8552,"16.0",535,"0<d<1000"
"Loos-en-Gohelle","50.4583","2.7942",6778,"12.7",534,"0<d<1000"
"Pia","42.7458","2.9217",7041,"13.18",534,"0<d<1000"
"Meximieux","45.9053","5.1953",7334,"13.75",533,"0<d<1000"
"Vierzon","47.2225","2.0694",39715,"74.5",533,"0<d<1000"
"Jouars-Pontchartrain","48.8039","1.9022",5129,"9.65",532,"0<d<1000"
"Mouy","49.3167","2.3203",5249,"9.87",532,"0<d<1000"
"Ambares-et-Lagrave","44.9258","-0.4853",13172,"24.76",532,"0<d<1000"
"Toul","48.675","5.8917",16271,"30.59",532,"0<d<1000"
"Mirecourt","48.2833","6.1333",6412,"12.12",529,"0<d<1000"
"Bievres","48.7542","2.2151",5112,"9.69",528,"0<d<1000"
"Hersin-Coupigny","50.4469","2.6489",6336,"12.02",527,"0<d<1000"
"Beuvry","50.5206","2.6803",8856,"16.85",526,"0<d<1000"
"Saint-Jean-Bonnefonds","45.4519","4.4472",6089,"11.59",525,"0<d<1000"
"Gouesnou","48.4544","-4.4633",6317,"12.08",523,"0<d<1000"
"Itteville","48.5152","2.3416",6386,"12.2",523,"0<d<1000"
"Saint-Benoit","46.5506","0.3425",7102,"13.58",523,"0<d<1000"
"Oissel","49.3425","1.0922",11611,"22.19",523,"0<d<1000"
"Gravelines","50.9858","2.1283",11828,"22.66",522,"0<d<1000"
"Saint-Quentin-de-Blavou","48.4711","0.4181",8575,"16.46",521,"0<d<1000"
"Tregueux","48.4914","-2.7364",7575,"14.57",520,"0<d<1000"
"Montreuil-Juigne","47.5292","-0.6108",7174,"13.81",519,"0<d<1000"
"Genas","45.7322","5.0028",12355,"23.84",518,"0<d<1000"
"La Voulte-sur-Rhone","44.8003","4.78",5017,"9.7",517,"0<d<1000"
"Perros-Guirec","48.8142","-3.4422",7297,"14.16",515,"0<d<1000"
"Saint-Gely-du-Fesc","43.6931","3.8067",8495,"16.51",515,"0<d<1000"
"Val-de-Reuil","49.28","1.21",13702,"26.61",515,"0<d<1000"
"Nieul-sur-Mer","46.2075","-1.1625",5620,"10.96",513,"0<d<1000"
"La Gaude","43.7228","7.1536",6716,"13.1",513,"0<d<1000"
"Panazol","45.8397","1.3108",10270,"20.05",512,"0<d<1000"
"Frejus","43.433","6.737",52389,"102.27",512,"0<d<1000"
"Bidart","43.4381","-1.5917",6117,"12.0",510,"0<d<1000"
"Epone","48.9564","1.8161",6476,"12.76",508,"0<d<1000"
"Tournon-sur-Rhone","45.0681","4.8333",10607,"21.01",505,"0<d<1000"
"Frouard","48.76","6.1319",6727,"13.38",503,"0<d<1000"
"Trignac","47.3189","-2.1878",7230,"14.38",503,"0<d<1000"
"Foix","42.9664","1.6078",9712,"19.32",503,"0<d<1000"
"Concarneau","47.8761","-3.9178",20604,"41.08",502,"0<d<1000"
"Brindas","45.7219","4.6942",5651,"11.27",501,"0<d<1000"
"Valognes","49.52","-1.47",7815,"15.63",500,"0<d<1000"
"La Chapelle-sur-Erdre","47.2997","-1.5517",16660,"33.42",499,"0<d<1000"
"Othis","49.0741","2.675",6463,"13.04",496,"0<d<1000"
"Saint-Amand-les-Eaux","50.4486","3.4281",16777,"33.81",496,"0<d<1000"
"Brioude","45.295","3.385",6670,"13.52",493,"0<d<1000"
"Chatenoy-le-Royal","46.795","4.8172",6160,"12.55",491,"0<d<1000"
"Montdidier","49.6486","2.5708",6174,"12.58",491,"0<d<1000"
"Saint-Avold","49.1102","6.7106",17406,"35.48",491,"0<d<1000"
"Bergerac","44.85","0.48",27555,"56.1",491,"0<d<1000"
"Vence","43.7236","7.1142",19241,"39.23",490,"0<d<1000"
"Saint-Martin-lez-Tatinghem","50.754","2.238",5631,"11.54",488,"0<d<1000"
"Chaponost","45.7108","4.7425",7963,"16.32",488,"0<d<1000"
"Plerin","48.5353","-2.7694",13522,"27.72",488,"0<d<1000"
"Chateaudun","48.0717","1.3387",13905,"28.48",488,"0<d<1000"
"Arnage","47.9261","0.1878",5229,"10.76",486,"0<d<1000"
"Le Perray-en-Yvelines","48.6947","1.855",6506,"13.47",483,"0<d<1000"
"Pelissanne","43.6322","5.1511",9221,"19.11",483,"0<d<1000"
"Saint-Gregoire","48.1517","-1.685",8333,"17.3",482,"0<d<1000"
"Dainville","50.2828","2.7281",5392,"11.22",481,"0<d<1000"
"Jonage","45.797","5.047",5807,"12.11",480,"0<d<1000"
"Morteau","47.0589","6.6069",6779,"14.11",480,"0<d<1000"
"Hettange-Grande","49.4067","6.1539",7814,"16.27",480,"0<d<1000"
"Tignieu-Jameyzieu","45.7347","5.1881",6382,"13.32",479,"0<d<1000"
"Laneuveville-devant-Nancy","48.6558","6.232",5963,"12.47",478,"0<d<1000"
"Saint-Georges-de-Didonne","45.6056","-0.9986",5039,"10.58",476,"0<d<1000"
"Saint-Yrieix-sur-Charente","45.6758","0.1281",6969,"14.65",476,"0<d<1000"
"Romagnat","45.73","3.101",8013,"16.84",476,"0<d<1000"
"Cesson-Sevigne","48.1217","-1.6025",15239,"32.14",474,"0<d<1000"
"Landivisiau","48.51","-4.0669",8964,"18.98",472,"0<d<1000"
"Marcoussis","48.6424","2.2307",7863,"16.8",468,"0<d<1000"
"La Fare-les-Oliviers","43.5525","5.195",6526,"13.98",467,"0<d<1000"
"Pont-du-Chateau","45.7992","3.2492",10102,"21.61",467,"0<d<1000"
"Saint-Arnoult-en-Yvelines","48.5722","1.9414",5831,"12.55",465,"0<d<1000"
"Les Angles","43.9553","4.7672",8269,"17.77",465,"0<d<1000"
"Pont-l'Abbe","47.8681","-4.2219",8432,"18.21",463,"0<d<1000"
"Saint-Die-des-Vosges","48.28","6.95",21361,"46.15",463,"0<d<1000"
"Saint-Maurice-l'Exil","45.4","4.783",5920,"12.82",462,"0<d<1000"
"Montrichard","47.3436","1.1842",6624,"14.36",461,"0<d<1000"
"Ploemeur","47.7372","-3.4261",18304,"39.72",461,"0<d<1000"
"Wittelsheim","47.8058","7.2383",10874,"23.63",460,"0<d<1000"
"Genlis","47.2417","5.2239",5542,"12.08",459,"0<d<1000"
"Binic-Etables-sur-Mer","48.2738","-2.5002",7040,"15.34",459,"0<d<1000"
"Saverne","48.74","7.36",11907,"26.01",458,"0<d<1000"
"Beaugency","47.7775","1.6325",7501,"16.45",456,"0<d<1000"
"Entraigues-sur-la-Sorgue","44.0036","4.9272",7550,"16.57",456,"0<d<1000"
"Notre-Dame-de-Gravenchon","49.49","0.5719",8541,"18.74",456,"0<d<1000"
"Chateaurenard","43.8833","4.8553",15934,"34.95",456,"0<d<1000"
"La Bouilladisse","43.3953","5.5953",5743,"12.61",455,"0<d<1000"
"Limours","48.6458","2.0771",6486,"14.25",455,"0<d<1000"
"Vitre","48.1242","-1.2081",16834,"37.03",455,"0<d<1000"
"Montfort-sur-Meu","48.1386","-1.9547",6347,"14.02",453,"0<d<1000"
"Boulazac","45.1719","0.7731",6601,"14.58",453,"0<d<1000"
"Bellerive-sur-Allier","46.1175","3.4044",8565,"18.97",452,"0<d<1000"
"Saint-Memmie","48.9536","4.3839",5670,"12.64",449,"0<d<1000"
"Lannion","48.7333","-3.4542",19733,"43.91",449,"0<d<1000"
"Conde-sur-Noireau","48.85","-0.55",5611,"12.53",448,"0<d<1000"
"Saint-Genest-Lerpt","45.4469","4.3375",5672,"12.68",447,"0<d<1000"
"Nogent-le-Rotrou","48.3225","0.8225",10496,"23.49",447,"0<d<1000"
"Etrechy","48.4938","2.1898",6268,"14.06",446,"0<d<1000"
"Fontenay-le-Comte","46.466","-0.8061",15188,"34.05",446,"0<d<1000"
"Pontarlier","46.9067","6.3556",18409,"41.35",445,"0<d<1000"
"Estaires","50.6444","2.7236",5690,"12.82",444,"0<d<1000"
"Decazeville","44.5597","2.2564",6164,"13.88",444,"0<d<1000"
"Quesnoy-sur-Deule","50.7131","3.0003",6380,"14.36",444,"0<d<1000"
"Pontcharra","45.4327","6.0201",7104,"16.0",444,"0<d<1000"
"Arques","50.7361","2.3033",9945,"22.41",444,"0<d<1000"
"Malemort-sur-Correze","45.1717","1.5647",7315,"16.51",443,"0<d<1000"
"L'Aigle","48.77","0.63",7983,"18.02",443,"0<d<1000"
"Agde","43.3108","3.4758",22487,"50.81",443,"0<d<1000"
"Marvejols","44.5542","3.2908",5501,"12.45",442,"0<d<1000"
"Vert-Saint-Denis","48.565","2.6147",7081,"16.13",439,"0<d<1000"
"Remiremont","48.0175","6.5906",7895,"18.0",439,"0<d<1000"
"Blanquefort","44.9114","-0.6364",14814,"33.72",439,"0<d<1000"
"Prevessin-Moens","46.25","6.0833",5300,"12.09",438,"0<d<1000"
"Castres","43.6","2.25",43010,"98.17",438,"0<d<1000"
"Chatel-Guyon","45.9233","3.065",6133,"14.06",436,"0<d<1000"
"Bernay","49.09","0.6",10480,"24.03",436,"0<d<1000"
"Saint-Ismier","45.2494","5.8247",6476,"14.9",435,"0<d<1000"
"Eu","50.0481","1.4206",7794,"17.93",435,"0<d<1000"
"Selestat","48.2511","7.42444",19332,"44.4",435,"0<d<1000"
"Pavilly","49.5692","0.9544",6158,"14.19",434,"0<d<1000"
"Montlouis-sur-Loire","47.3892","0.8281",10643,"24.55",434,"0<d<1000"
"Chevreuse","48.7083","2.0392",5809,"13.42",433,"0<d<1000"
"La Grand-Combe","44.2111","4.0294",5187,"12.01",432,"0<d<1000"
"Nieppe","50.7039","2.8397",7470,"17.3",432,"0<d<1000"
"Aussonne","43.6847","1.3206",5923,"13.76",430,"0<d<1000"
"Chateau-d'Olonne","46.505","-1.7361",13420,"31.22",430,"0<d<1000"
"La Crau","43.1506","6.0747",16268,"37.87",430,"0<d<1000"
"Langres","47.8633","5.3339",9586,"22.33",429,"0<d<1000"
"Montauban","44.0181","1.3558",57921,"135.17",429,"0<d<1000"
"Obernai","48.46","7.48",11009,"25.78",427,"0<d<1000"
"Hyeres","43.1199","6.1316",56275,"132.28",425,"0<d<1000"
"Cancale","48.6769","-1.8506",5341,"12.6",424,"0<d<1000"
"Bouaye","47.1442","-1.6878",5860,"13.83",424,"0<d<1000"
"Anse","45.935","4.718",6450,"15.23",424,"0<d<1000"
"Malemort","45.171","1.565",8330,"19.65",424,"0<d<1000"
"Cusset","46.1353","3.4572",13497,"31.93",423,"0<d<1000"
"Coueron","47.2156","-1.7228",18591,"44.03",422,"0<d<1000"
"Magny-en-Vexin","49.155","1.7875",5858,"14.02",418,"0<d<1000"
"Saint-Bonnet-de-Mure","45.6914","5.03",6822,"16.34",418,"0<d<1000"
"Saint-Denis-en-Val","47.8781","1.9608",7149,"17.11",418,"0<d<1000"
"Canejan","44.7639","-0.6536",5009,"12.0",417,"0<d<1000"
"Saint Denis les Bourg","46.2025","5.19",5229,"12.58",416,"0<d<1000"
"Rethel","49.5106","4.3667",7724,"18.58",416,"0<d<1000"
"Chaumont","48.1117","5.1389",23011,"55.26",416,"0<d<1000"
"Wintzenheim","48.0739","7.2906",7879,"18.97",415,"0<d<1000"
"Briancon","44.8964","6.6356",11645,"28.07",415,"0<d<1000"
"Carquefou","47.2975","-1.4914",18022,"43.42",415,"0<d<1000"
"L'Isle-sur-la-Sorgue","43.9199","5.0549",18510,"44.57",415,"0<d<1000"
"Saumur","47.26","-0.0769",27523,"66.25",415,"0<d<1000"
"Lourdes","43.1","-0.05",15254,"36.94",413,"0<d<1000"
"Canet-en-Roussillon","42.7067","3.0078",12436,"30.22",412,"0<d<1000"
"Roye","49.7008","2.7911",6384,"15.55",411,"0<d<1000"
"La Motte-Servolex","45.5975","5.8783",12254,"29.85",411,"0<d<1000"
"Raismes","50.3897","3.4867",13699,"33.31",411,"0<d<1000"
"Beynes","48.86","1.87",7607,"18.56",410,"0<d<1000"
"Vern-sur-Seiche","48.0456","-1.5989",8062,"19.7",409,"0<d<1000"
"Saint-Symphorien-d'Ozon","45.6336","4.8569",5443,"13.37",407,"0<d<1000"
"Carentan","49.3","-1.25",6340,"15.66",405,"0<d<1000"
"Le Rheu","48.1028","-1.7942",7643,"18.89",405,"0<d<1000"
"Ploufragan","48.49","-2.794",10953,"27.06",405,"0<d<1000"
"Bonneville","46.0797","6.4014",10996,"27.15",405,"0<d<1000"
"Romorantin-Lanthenay","47.3589","1.7436",18350,"45.31",405,"0<d<1000"
"Orange","44.1383","4.8097",30025,"74.2",405,"0<d<1000"
"Segre","47.6872","-0.8708",6410,"15.87",404,"0<d<1000"
"Saint-Andre-de-Cubzac","44.9956","-0.4447",9323,"23.15",403,"0<d<1000"
"Cogolin","43.2526","6.53",11253,"27.93",403,"0<d<1000"
"Muret","43.4611","1.3267",23297,"57.84",403,"0<d<1000"
"Saint-Jean-d'Angely","45.9466","-0.5294",7522,"18.78",401,"0<d<1000"
"Peypin","43.3867","5.5792",5336,"13.35",400,"0<d<1000"
"Marsannay-la-Cote","47.2714","4.9894",5127,"12.85",399,"0<d<1000"
"Audun-le-Tiche","49.4742","5.9583",6152,"15.43",399,"0<d<1000"
"Saint-Pierre-en-Faucigny","46.0606","6.3731",5932,"14.91",398,"0<d<1000"
"Saint-Just-en-Chaussee","49.5067","2.4317",5818,"14.66",397,"0<d<1000"
"Saint-Rambert-d'Albon","45.2947","4.8175",5309,"13.41",396,"0<d<1000"
"Corbie","49.9097","2.5081",6431,"16.25",396,"0<d<1000"
"Sene","47.6206","-2.7358",7868,"19.94",395,"0<d<1000"
"Chateau-Gontier","47.8286","-0.7028",11025,"27.88",395,"0<d<1000"
"Sautron","47.2644","-1.6667",6809,"17.28",394,"0<d<1000"
"Venelles","43.5992","5.4833",8100,"20.54",394,"0<d<1000"
"Gouvieux","49.1883","2.4169",9166,"23.25",394,"0<d<1000"
"Teteghem","51.019","2.444",7237,"18.41",393,"0<d<1000"
"Champagnole","46.7481","5.9078",7938,"20.18",393,"0<d<1000"
"Belley","45.7667","5.6833",8750,"22.42",390,"0<d<1000"
"Saint-Vallier","46.6428","4.3719",9432,"24.21",390,"0<d<1000"
"Manosque","43.8342","5.7839",22099,"56.73",390,"0<d<1000"
"Ingre","47.9211","1.825",8104,"20.82",389,"0<d<1000"
"Saint-Lys","43.515","1.1783",8256,"21.3",388,"0<d<1000"
"Cavalaire","43.1719","6.5297",6463,"16.74",386,"0<d<1000"
"Moirans","45.3258","5.5653",7743,"20.06",386,"0<d<1000"
"Capbreton","43.6431","-1.4311",8396,"21.75",386,"0<d<1000"
"Coulounieix-Chamiers","45.1872","0.6922",8356,"21.7",385,"0<d<1000"
"Valence","44.1111","0.8903",5155,"13.44",384,"0<d<1000"
"Saint-Paul-Trois-Chateaux","44.3497","4.769",8465,"22.04",384,"0<d<1000"
"Tarnos","43.5411","-1.46",10076,"26.26",384,"0<d<1000"
"Saint-Raphael","43.4252","6.7684",34425,"89.59",384,"0<d<1000"
"Le Boulou","42.5247","2.8308",5520,"14.42",383,"0<d<1000"
"Isle","45.805","1.2272",7734,"20.18",383,"0<d<1000"
"Le Val-d'Hazey","49.174","1.336",5491,"14.37",382,"0<d<1000"
"Feignies","50.3031","3.9189",7183,"18.8",382,"0<d<1000"
"Marmande","44.5","0.17",17161,"45.06",381,"0<d<1000"
"Betton","48.1833","-1.6428",10137,"26.73",379,"0<d<1000"
"Thuir","42.6331","2.7572",7519,"19.9",378,"0<d<1000"
"Lescar","43.3336","-0.4347",10206,"27.0",378,"0<d<1000"
"Saint-Doulchard","47.1056","2.3575",9051,"24.01",377,"0<d<1000"
"Paray-le-Monial","46.4519","4.1203",9502,"25.2",377,"0<d<1000"
"Quimperle","47.8736","-3.5486",11978,"31.73",377,"0<d<1000"
"Marquise","50.8153","1.7042",5065,"13.46",376,"0<d<1000"
"Ancenis","47.3733","-1.2936",7543,"20.07",376,"0<d<1000"
"Grabels","43.6486","3.8025",6092,"16.24",375,"0<d<1000"
"Istres","43.5151","4.9895",42603,"113.73",375,"0<d<1000"
"Wasselonne","48.64","7.45",5614,"15.0",374,"0<d<1000"
"Lillers","50.5644","2.4831",10050,"26.9",374,"0<d<1000"
"Allauch","43.3369","5.4828",18646,"50.3",371,"0<d<1000"
"Saint-Tropez","43.2733","6.63962",5612,"15.18",370,"0<d<1000"
"Jurancon","43.2883","-0.3869",6937,"18.78",369,"0<d<1000"
"Gap","44.5594","6.0786",40761,"110.43",369,"0<d<1000"
"Bouillargues","43.8008","4.4275",5805,"15.77",368,"0<d<1000"
"Luxeuil-les-Bains","47.8169","6.3814",7997,"21.81",367,"0<d<1000"
"Miribel","45.8253","4.9536",8997,"24.49",367,"0<d<1000"
"Givet","50.1389","4.825",6736,"18.41",366,"0<d<1000"
"Templeuve-en-Pevele","50.5272","3.1758",5778,"15.84",365,"0<d<1000"
"Roquevaire","43.35","5.6053",8693,"23.83",365,"0<d<1000"
"Chateauneuf-les-Martigues","43.3838","5.165",11564,"31.65",365,"0<d<1000"
"Saint-Etienne-au-Mont","50.6822","1.6269",5112,"14.05",364,"0<d<1000"
"Orgeval","48.9211","1.9764",5559,"15.33",363,"0<d<1000"
"Vendenheim","48.6683","7.7139",5751,"15.89",362,"0<d<1000"
"Saujon","45.6714","-0.9278",6528,"18.01",362,"0<d<1000"
"Gonfreville-l’Orcher","49.5058","0.2342",9307,"25.81",361,"0<d<1000"
"Chateaubriant","47.7178","-1.375",12022,"33.62",358,"0<d<1000"
"Chauray","46.3614","-0.3761",5180,"14.5",357,"0<d<1000"
"Marange-Silvange","49.2158","6.1167",5444,"15.24",357,"0<d<1000"
"Le Quesnoy","50.2476","3.6383",5061,"14.23",356,"0<d<1000"
"Sable-sur-Sarthe","47.8505","-0.3292",13141,"36.92",356,"0<d<1000"
"Contes","43.8128","7.3144",6909,"19.47",355,"0<d<1000"
"Lure","47.6836","6.4975",8616,"24.31",354,"0<d<1000"
"Issoudun","46.9608","1.9944",12931,"36.6",353,"0<d<1000"
"Gareoult","43.3282","6.0456",5546,"15.75",352,"0<d<1000"
"Saint-Gaudens","43.1089","0.7242",11660,"33.18",351,"0<d<1000"
"Maule","48.9097","1.8492",6057,"17.3",350,"0<d<1000"
"Peronnas","46.1794","5.2033",6135,"17.59",349,"0<d<1000"
"La Gorgue","50.6378","2.7175",5215,"15.03",347,"0<d<1000"
"Queven","47.7894","-3.4139",8314,"23.93",347,"0<d<1000"
"La Charite-sur-Loire","47.1778","3.0197",5460,"15.78",346,"0<d<1000"
"Malesherbes","48.295","2.415",6097,"17.61",346,"0<d<1000"
"Crest","44.7292","5.0228",8095,"23.38",346,"0<d<1000"
"Nangis","48.5556","3.0153",8351,"24.16",346,"0<d<1000"
"Pamiers","43.1175","1.6117",15857,"45.85",346,"0<d<1000"
"Penmarch","47.8127","-4.3366",5633,"16.39",344,"0<d<1000"
"Saint-Girons","42.9858","1.1467",6579,"19.13",344,"0<d<1000"
"Elne","42.5997","2.971",7325,"21.29",344,"0<d<1000"
"Izon","44.9211","-0.3606",5349,"15.59",343,"0<d<1000"
"Gigean","43.5003","3.7117",5687,"16.56",343,"0<d<1000"
"Marguerittes","43.8608","4.4447",8671,"25.29",343,"0<d<1000"
"Mulsanne","47.9081","0.2481",5213,"15.25",342,"0<d<1000"
"Gujan-Mestras","44.6364","-1.0667",18461,"53.99",342,"0<d<1000"
"Parempuyre","44.95","-0.6039",7409,"21.8",340,"0<d<1000"
"Lannemezan","43.12","0.39",6446,"19.03",339,"0<d<1000"
"Mende","44.5194","3.5014",12378,"36.56",339,"0<d<1000"
"Trebes","43.2106","2.4422",5524,"16.36",338,"0<d<1000"
"Voreppe","45.2986","5.6375",9653,"28.65",337,"0<d<1000"
"Saint-Christol-les-Ales","44.0853","4.0775",6776,"20.25",335,"0<d<1000"
"Velaux","43.5286","5.2564",8403,"25.23",333,"0<d<1000"
"Gex","46.3333","6.0578",10677,"32.02",333,"0<d<1000"
"Dol-de-Bretagne","48.5506","-1.7497",5163,"15.53",332,"0<d<1000"
"Paimpol","48.7786","-3.0453",7835,"23.61",332,"0<d<1000"
"Barr","48.4089","7.4506",6830,"20.61",331,"0<d<1000"
"Merville","50.6444","2.6411",8903,"26.96",330,"0<d<1000"
"Brumath","48.7328","7.7092",9737,"29.54",330,"0<d<1000"
"Geispolsheim","48.52","7.65",7152,"21.95",326,"0<d<1000"
"Fondettes","47.405","0.5997",10466,"32.08",326,"0<d<1000"
"Boe","44.16","0.629",5361,"16.5",325,"0<d<1000"
"Reichshoffen","48.935","7.6669",5740,"17.64",325,"0<d<1000"
"Saint-Just-Saint-Rambert","45.5003","4.2406",13192,"40.63",325,"0<d<1000"
"Betheny","49.2856","4.0578",6439,"19.9",324,"0<d<1000"
"Drusenheim","48.7628","7.9525",5086,"15.73",323,"0<d<1000"
"Bar-sur-Aube","48.27","4.72",5259,"16.27",323,"0<d<1000"
"Les Essarts-le-Roi","48.7175","1.8953",6247,"19.32",323,"0<d<1000"
"Saint-Vincent-de-Tyrosse","43.6606","-1.3072",6785,"20.98",323,"0<d<1000"
"Uzes","44.013","4.4205",8213,"25.41",323,"0<d<1000"
"Bailleul","50.7392","2.7333",13989,"43.42",322,"0<d<1000"
"Saint-Medard-en-Jalles","44.8964","-0.7164",27427,"85.28",322,"0<d<1000"
"Guise","49.9008","3.6283",5182,"16.13",321,"0<d<1000"
"Fismes","49.3078","3.6814",5377,"16.75",321,"0<d<1000"
"Leguevin","43.5997","1.2339",7853,"24.45",321,"0<d<1000"
"Capavenir-Vosges","48.251","6.42",9059,"28.37",319,"0<d<1000"
"Lucon","46.4556","-1.1647",10053,"31.52",319,"0<d<1000"
"Sausheim","47.7875","7.3739",5383,"16.91",318,"0<d<1000"
"Trans-en-Provence","43.5042","6.4867",5407,"16.99",318,"0<d<1000"
"Saint-Sulpice-la-Pointe","43.775","1.6872",7624,"23.99",318,"0<d<1000"
"Saint-Ave","47.6872","-2.7333",8303,"26.09",318,"0<d<1000"
"Berre-l'Etang","43.476","5.1686",13881,"43.64",318,"0<d<1000"
"Lodeve","43.7325","3.3203",7345,"23.17",317,"0<d<1000"
"Lavausseau","46.5603","0.0742",7780,"24.71",315,"0<d<1000"
"Commentry","46.2897","2.7422",6580,"20.96",314,"0<d<1000"
"Claix","45.1203","5.6725",7565,"24.12",314,"0<d<1000"
"Feurs","45.7417","4.2267",7669,"24.39",314,"0<d<1000"
"Varces-Allieres-et-Risset","45.0875","5.6278",6583,"21.0",313,"0<d<1000"
"Port-Jerome-sur-Seine","49.489","0.567",9556,"30.5",313,"0<d<1000"
"Dourdan","48.5289","2.0156",9602,"30.64",313,"0<d<1000"
"Ballan-Mire","47.3425","0.6139",8152,"26.16",312,"0<d<1000"
"Guipavas","48.4342","-4.3994",13771,"44.13",312,"0<d<1000"
"Cahors","44.4483","1.4414",20224,"64.72",312,"0<d<1000"
"Neufchateau","48.3564","5.6964",7395,"23.81",311,"0<d<1000"
"Saint-Loubes","44.9181","-0.4269",7793,"25.07",311,"0<d<1000"
"Saint-Pierre-du-Mont","43.8833","-0.5183",8171,"26.25",311,"0<d<1000"
